"specimen","DNAvial","science_sex","DNALab_sex","concordance","Fork_Length"
14950317,"455_20160012_V","FEMALE","FEMALE",1,405
14950319,"455_20150193_V","FEMALE","FEMALE",1,365
14950321,"455_20160024_V","FEMALE","MALE",0,370
14950322,"455_20160033_V","FEMALE","FEMALE",1,395
14950323,"455_20150197_V","FEMALE","MALE",0,520
14950324,"455_20160006_V","MALE","MALE",1,375
14950336,"455_20160003_V","MALE","MALE",1,500
14950341,"455_20150200_V","FEMALE","FEMALE",1,380
14950346,"455_20150195_V","MALE","MALE",1,390
14950351,"455_20160010_V","MALE","MALE",1,375
14950352,"455_20160002_V","FEMALE","MALE",0,375
14950353,"455_20160008_V","FEMALE","FEMALE",1,495
14950354,"455_20150187_V","MALE","MALE",1,485
14950356,"455_20150152_V","FEMALE","FEMALE",1,410
14950357,"455_20160035_V","FEMALE","MALE",0,390
14950361,"455_20150177_V","MALE","MALE",1,320
14950366,"455_20150165_V","FEMALE","FEMALE",1,375
14950371,"455_20160037_V","FEMALE","MALE",0,350
14950382,"455_20150198_V","FEMALE","FEMALE",1,525
14950385,"455_20150157_V","FEMALE","FEMALE",1,605
14950389,"455_20160004_V","MALE","MALE",1,490
14950394,"455_20160016_V","FEMALE","MALE",0,505
14950399,"455_20150133_V","MALE","MALE",1,515
14950400,"455_20150132_V","FEMALE","FEMALE",1,510
14950403,"455_20150124_V","FEMALE","FEMALE",1,530
14950405,"455_20150167_V","FEMALE","FEMALE",1,525
14950410,"455_20150159_V","FEMALE","FEMALE",1,530
14950414,"455_20150155_V","MALE","MALE",1,470
14950418,"455_20150183_V","MALE","MALE",1,540
14950425,"455_20150186_V","MALE","MALE",1,470
14950427,"455_20150162_V","FEMALE","FEMALE",1,510
14951937,"455_20150161_V","FEMALE","FEMALE",1,545
14951938,"455_20150151_V","FEMALE","FEMALE",1,555
14951940,"455_20150153_V","MALE","MALE",1,490
14951942,"455_20150179_V","MALE","MALE",1,550
14951945,"455_20150130_V","MALE","MALE",1,535
14951946,"455_20150129_V","FEMALE","FEMALE",1,585
14951947,"455_20150131_V","MALE","MALE",1,495
14951948,"455_20150140_V","FEMALE","FEMALE",1,545
14951949,"455_20150126_V","FEMALE","FEMALE",1,405
14951950,"455_20150135_V","FEMALE","FEMALE",1,580
14951951,"455_20150128_V","FEMALE","FEMALE",1,585
14951952,"455_20150147_V","MALE","MALE",1,475
14951953,"455_20150134_V","MALE","MALE",1,445
14951954,"455_20150125_V","FEMALE","FEMALE",1,355
14951955,"455_20150127_V","FEMALE","FEMALE",1,380
14951956,"455_20150122_V","FEMALE","FEMALE",1,350
14953434,"455_20160026_V","MALE","MALE",1,780
14953458,"455_20150199_V","MALE","MALE",1,585
14953481,"455_20160005_V","MALE","MALE",1,635
14953493,"455_20160009_V","MALE","MALE",1,630
