"TRIP_SUB_TYPE_CODE","TRIP_SUB_TYPE_DESC","trip year","fishing_year","fynum","SPECIMEN_ID","SAMPLE_ID","SPECIMEN_SEX_CODE","Fork_Length","SPECIMEN_AGE","GEAR_DESC"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928808,486162,1,620,11,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928809,486162,2,690,14,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928810,486162,2,670,5,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928811,486162,1,600,14,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928812,486162,1,580,25,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928813,486162,1,680,16,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928814,486162,2,520,7,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928815,486162,1,550,4,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928816,486162,1,730,22,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928817,486162,1,600,15,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928818,486162,1,710,25,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928819,486162,1,580,6,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928820,486162,2,720,13,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928821,486162,2,700,10,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928822,486162,2,650,8,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928823,486162,1,650,28,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928824,486162,2,710,,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928825,486162,1,510,7,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928826,486162,2,590,8,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928827,486162,2,630,13,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928828,486163,1,590,8,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928829,486163,2,450,9,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928830,486163,2,530,7,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928831,486163,2,590,8,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928832,486163,2,590,14,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928833,486163,2,490,6,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928834,486163,1,450,4,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928835,486163,1,520,12,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928836,486163,1,560,7,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928837,486163,2,440,4,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928838,486163,2,440,8,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928839,486163,1,490,3,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928840,486163,2,480,3,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928841,486163,1,610,6,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928842,486163,1,540,4,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928843,486163,1,520,3,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928844,486163,2,600,10,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928845,486163,2,680,13,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928846,486163,1,500,3,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928847,486163,2,650,10,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928848,486163,2,530,5,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928849,486163,1,520,4,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928850,486164,1,610,9,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928851,486164,2,720,9,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928852,486164,1,570,13,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928853,486164,2,690,9,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928854,486164,1,700,15,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928855,486164,1,530,11,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928856,486164,1,540,29,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928857,486164,2,580,6,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928858,486164,1,600,8,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928859,486164,1,630,8,"TRAP"
1,"NON - OBSERVED DOMESTIC",2016,"FY 2016/2017",12,14928860,486164,1,640,8,"TRAP"
