type,obs,id,SMean,Sstdev,A,B,C,"A:absolute(individual measurement a,b,c -mean)/mean","B:absolute(individual measurement a,b,c -mean)/mean","C:absolute(individual measurement a,b,c -mean)/mean",sum(abc)/3,,,,
ID,1,23,35.42666667,0.485008591,35.43,35.91,34.94,9.40911E-05,0.013643207,0.013737298,0.009158198,,,,
ID,2,83,37.25,0.867467579,36.5,38.2,37.05,0.020134228,0.025503356,0.005369128,0.017002237,,,,
ID,3,71,37.37333333,0.962617958,38.48,36.91,36.73,0.029611131,0.012397431,0.0172137,0.019740754,,,,
ID,4,53,37.42666667,0.544456916,37.31,38.02,36.95,0.003117207,0.015853224,0.012736017,0.010568816,,,,
ID,5,6,38.02333333,0.60044428,38.05,38.61,37.41,0.000701324,0.015429122,0.016130446,0.010753631,,,,
ID,6,19,38.41666667,1.148491765,37.68,39.74,37.83,0.019175705,0.034446855,0.01527115,0.02296457,,,,
ID,7,33,38.88,0.910604195,39.04,39.7,37.9,0.004115226,0.021090535,0.025205761,0.016803841,,,,
ID,8,45,39.58333333,0.760350796,39.61,40.33,38.81,0.000673684,0.018863158,0.019536842,0.013024561,,,,
ID,9,78,39.67,2.484290643,42.51,37.9,38.6,0.071590623,0.044618099,0.026972523,0.047727082,,,,
ID,10,86,39.73333333,0.188237439,39.61,39.64,39.95,0.003104027,0.002348993,0.00545302,0.003635347,,,,
ID,11,38,40.00666667,0.493288286,40.34,40.24,39.44,0.008331945,0.005832361,0.014164306,0.009442871,,,,
ID,12,27,40.23333333,1.038524594,40.08,41.34,39.28,0.003811102,0.027506214,0.023695112,0.018337476,,,,
ID,13,95,40.41,0.845044378,40.26,41.32,39.65,0.003711952,0.022519178,0.018807226,0.015012786,,,,
ID,14,34,40.45333333,0.590028248,40.88,40.7,39.78,0.010547132,0.006097561,0.016644693,0.011096462,,,,
ID,15,14,40.50333333,0.98500423,39.9,41.64,39.97,0.014895893,0.028063534,0.013167641,0.018709023,,,,
ID,16,81,40.62,0.635531274,41.35,40.19,40.32,0.017971443,0.010585918,0.007385524,0.011980962,,,,
ID,17,3,40.78,1.281054253,40.84,42.03,39.47,0.001471309,0.030652281,0.03212359,0.021415727,,,,
ID,18,92,40.78,1.178855377,42.01,40.67,39.66,0.030161844,0.002697401,0.027464443,0.020107896,,,,
ID,19,84,40.90666667,0.140118997,40.9,40.77,41.05,0.000162973,0.003340939,0.003503911,0.002335941,,,,
ID,20,73,40.95,0.514198405,41.13,41.35,40.37,0.004395604,0.00976801,0.014163614,0.009442409,,,,
ID,21,97,41.1,0.105830052,41.14,41.18,40.98,0.000973236,0.001946472,0.002919708,0.001946472,,,,
ID,22,82,41.11666667,0.794753631,41.79,41.32,40.24,0.016376165,0.004945278,0.021321443,0.014214295,,,,
ID,23,25,41.15333333,0.80226762,41.55,41.68,40.23,0.009638749,0.012797667,0.022436417,0.014957611,,,,
ID,24,93,41.15333333,0.833386665,41.24,41.94,40.28,0.002105945,0.019115503,0.021221448,0.014147632,,,,
ID,25,13,41.28333333,0.023094011,41.31,41.27,41.27,0.000645943,0.000322971,0.000322971,0.000430628,,,,
ID,26,44,41.31333333,0.935111402,41.12,42.33,40.49,0.004679684,0.024608682,0.019928998,0.016405788,,,,
ID,27,29,41.48666667,1.320467089,42.96,41.09,40.41,0.035513418,0.009561305,0.025952113,0.023675612,,,,
ID,28,94,41.83333333,0.822030008,42.78,41.42,41.3,0.022629482,0.009880478,0.012749004,0.015086321,,,,
ID,29,90,41.96,0.391535439,42.4,41.83,41.65,0.010486177,0.003098189,0.007387989,0.006990785,,,,
ID,30,28,42.02,0.581033562,41.42,42.58,42.06,0.014278915,0.013326987,0.000951928,0.009519277,,,,
ID,31,35,42.13333333,0.361432336,42.39,42.29,41.72,0.006091772,0.003718354,0.009810127,0.006540084,,,,
ID,32,8,42.28333333,0.122202019,42.31,42.39,42.15,0.000630666,0.002522665,0.003153331,0.00210222,,,,
ID,33,40,42.31333333,0.49802945,42.87,41.91,42.16,0.013155822,0.009532062,0.003623759,0.008770548,,,,
ID,34,51,42.36,0.624259561,43.08,41.97,42.03,0.016997167,0.009206799,0.007790368,0.011331445,,,,
ID,35,87,42.37666667,0.195021366,42.24,42.6,42.29,0.003225045,0.005270196,0.002045151,0.003513464,,,,
ID,36,42,42.38333333,0.547205019,42.14,43.01,42,0.00574125,0.014785686,0.009044436,0.009857124,,,,
ID,37,18,42.78666667,0.503421626,42.92,43.21,42.23,0.003116236,0.009894048,0.013010284,0.008673522,,,,
ID,38,75,42.83333333,0.456544996,43.04,43.15,42.31,0.004824903,0.007392996,0.012217899,0.008145266,,,,
ID,39,7,42.85666667,0.281128678,42.72,43.18,42.67,0.003188924,0.007544528,0.004355604,0.005029686,,,,
ID,40,69,42.91666667,0.205507502,43.13,42.9,42.72,0.004970874,0.00038835,0.004582524,0.003313916,,,,
ID,41,16,42.98,0.723809367,42.71,43.8,42.43,0.006281992,0.019078641,0.01279665,0.012719094,,,,
ID,42,22,43.04333333,0.610437002,42.35,43.28,43.5,0.016107798,0.005498335,0.010609463,0.010738532,,,,
ID,43,77,43.15333333,0.195533458,43.34,43.17,42.95,0.00432566,0.00038622,0.00471188,0.003141253,,,,
ID,44,9,43.32666667,0.348185774,43.03,43.71,43.24,0.006847207,0.008847515,0.002000308,0.005898343,,,,
ID,45,46,43.41,0.746659226,43.11,44.26,42.86,0.00691085,0.019580742,0.012669892,0.013053828,,,,
ID,46,32,43.51,0.922388205,43.07,44.57,42.89,0.010112618,0.024362216,0.014249598,0.016241477,,,,
ID,47,57,43.55333333,0.366924152,43.78,43.75,43.13,0.005204347,0.004515537,0.009719884,0.006479922,,,,
ID,48,15,43.66666667,0.526909227,43.06,43.93,44.01,0.01389313,0.006030534,0.007862595,0.009262087,,,,
ID,49,91,43.71666667,0.240069434,43.71,43.96,43.48,0.000152497,0.005566146,0.005413648,0.003710764,,,,
ID,50,60,43.76333333,0.44613152,43.3,43.8,44.19,0.01058725,0.00083784,0.00974941,0.007058166,,,,
ID,51,55,43.92666667,0.904009587,44.64,44.23,42.91,0.016239187,0.006905448,0.023144635,0.015429757,,,,
ID,52,10,43.96,0.617332973,44.46,44.15,43.27,0.011373976,0.004322111,0.015696087,0.010464058,,,,
ID,53,12,44.01333333,0.961578563,43.71,45.09,43.24,0.006891851,0.024462284,0.017570433,0.016308189,,,,
ID,54,85,44.22,0.327871926,43.92,44.17,44.57,0.006784261,0.00113071,0.007914971,0.005276647,,,,
ID,55,1,44.33666667,1.0715565,43.52,45.55,43.94,0.018419668,0.027366363,0.008946696,0.018244242,,,,
ID,56,50,44.42333333,0.670099495,45.16,43.85,44.26,0.016582877,0.01290613,0.003676746,0.011055251,,,,
ID,57,89,44.43333333,0.665607492,45.02,44.57,43.71,0.013203301,0.003075769,0.01627907,0.010852713,,,,
ID,58,96,44.55,0.53693575,44.42,45.14,44.09,0.00291807,0.013243547,0.010325477,0.008829031,,,,
ID,59,2,44.62333333,1.015102622,44.34,45.75,43.78,0.006349443,0.025248375,0.018898932,0.01683225,,,,
ID,60,64,44.81,0.667757441,45.44,44.11,44.88,0.014059362,0.015621513,0.001562151,0.010414342,,,,
ID,61,36,44.90333333,0.457638868,44.96,45.33,44.42,0.00126197,0.009501893,0.010763863,0.007175909,,,,
ID,62,56,44.92666667,0.401040314,44.96,45.31,44.51,0.00074195,0.008532423,0.009274373,0.006182915,,,,
ID,63,88,45.18333333,1.631144792,43.64,46.89,45.02,0.034157138,0.03777204,0.003614902,0.02518136,,,,
ID,64,76,45.2,0.381575681,45.6,45.16,44.84,0.008849558,0.000884956,0.007964602,0.005899705,,,,
ID,65,80,45.33666667,0.972231111,46.37,45.2,44.44,0.022792442,0.003014484,0.019777958,0.015194961,,,,
ID,66,63,45.38333333,0.12858201,45.33,45.53,45.29,0.001175174,0.00323173,0.002056555,0.002154486,,,,
ID,67,24,45.40333333,0.159478316,45.22,45.48,45.51,0.004037883,0.001688569,0.002349314,0.002691922,,,,
ID,68,17,45.43333333,1.299397296,45.8,46.51,43.99,0.008070433,0.023697726,0.031768158,0.021178772,,,,
ID,69,79,45.56333333,0.809279515,45.99,46.07,44.63,0.009364255,0.011120053,0.020484308,0.013656205,,,,
ID,70,58,45.57333333,0.436157464,45.81,45.84,45.07,0.005193095,0.005851375,0.01104447,0.00736298,,,,
ID,71,21,45.62333333,0.483356321,45.31,46.18,45.38,0.006867831,0.012201359,0.005333528,0.008134239,,,,
ID,72,11,46.13,1.000149989,46.11,47.14,45.14,0.000433557,0.021894646,0.021461088,0.01459643,,,,
ID,73,20,46.31333333,0.426653646,46.27,46.76,45.91,0.000935656,0.009644451,0.008708795,0.006429634,,,,
ID,74,59,46.54666667,0.506589906,46.75,46.92,45.97,0.004368376,0.008020624,0.012389,0.008259334,,,,
ID,75,99,46.77333333,0.461988456,46.63,47.29,46.4,0.003064424,0.01104618,0.007981756,0.00736412,,,,
ID,76,4,47.06333333,1.175981859,46.73,48.37,46.09,0.007082655,0.027764006,0.020681351,0.018509337,,,,
ID,77,48,47.21666667,0.567479809,46.73,47.08,47.84,0.010307095,0.002894458,0.013201553,0.008801035,,,,
ID,78,49,47.28666667,0.559672523,47.8,46.69,47.37,0.010855773,0.012618074,0.001762301,0.008412049,,,,
ID,79,98,47.54,0.544426304,47.46,48.12,47.04,0.001682793,0.012200252,0.010517459,0.008133502,,,,
ID,80,52,47.72666667,0.852310585,48.65,47.56,46.97,0.019346277,0.003492108,0.01585417,0.012897518,,,,
ID,81,30,48.40333333,0.140118997,48.29,48.56,48.36,0.002341437,0.003236692,0.000895255,0.002157794,,,,
ID,82,41,48.71333333,0.325166624,48.36,49,48.78,0.007253319,0.005884768,0.001368551,0.004835546,,,,
ID,83,37,48.79333333,0.479826357,49.19,48.93,48.26,0.008129526,0.002800929,0.010930455,0.00728697,,,,
ID,84,5,48.96333333,1.453834012,48.37,50.62,47.9,0.012117911,0.033834842,0.021716931,0.022556562,,,,
ID,85,39,50.01,1.067192579,49.76,51.18,49.09,0.004999,0.023395321,0.018396321,0.015596881,,,,
ID,86,26,51.49,1.023279043,51.64,52.43,50.4,0.002913187,0.018255972,0.021169159,0.014112773,,,,
ID,87,74,51.60333333,0.419324854,51.87,51.82,51.12,0.005167625,0.004198695,0.00936632,0.006244213,,,,
ID,88,70,52.91333333,0.819288309,52.56,53.85,52.33,0.006677586,0.017701902,0.011024316,0.011801268,,,,
ID,89,67,53.11333333,0.587735768,53.78,52.67,52.89,0.012551776,0.008346931,0.004204845,0.008367851,,,,
ID,90,54,54.03333333,0.890748749,55.05,53.66,53.39,0.018815546,0.006909315,0.011906231,0.012543697,,,,
ID,91,68,54.39333333,0.858855828,54.6,53.45,55.13,0.003799485,0.017342812,0.013543326,0.011561874,,,,
ID,92,47,55.21666667,0.395263625,55.62,55.2,54.83,0.007304558,0.000301841,0.007002717,0.004869705,,,,
ID,93,62,55.48666667,0.619058425,56.2,55.17,55.09,0.012855941,0.005707077,0.007148865,0.008570628,,,,
ID,94,66,55.51,0.401497198,55.89,55.09,55.55,0.006845613,0.007566204,0.000720591,0.005044136,,,,
ID,95,31,56.7,0.439203825,56.63,57.17,56.3,0.001234568,0.008289242,0.007054674,0.005526161,,,,
ID,96,43,57.51,0.291032644,57.62,57.18,57.73,0.001912711,0.005738132,0.003825422,0.003825422,ID,SL,UJ,PP
ID,97,65,57.57,0.672681202,58.32,57.37,57.02,0.013027619,0.003474032,0.009553587,0.008685079,1.1,1.2,1,2.3
ID,98,61,57.67666667,0.638853139,58.15,57.93,56.95,0.008206669,0.004392302,0.012598971,0.008399314,,,,
ID,99,72,60.90333333,0.243789527,61.18,60.81,60.72,0.004542718,0.001532483,0.003010235,0.003028479,1.090053538,,,
SL,1,23,42.56666667,0.428291178,42.29,42.35,43.06,0.006499608,0.005090055,0.011589663,0.007726442,,,,
SL,2,83,40.36,0.680220552,39.67,40.38,41.03,0.017096135,0.00049554,0.016600595,0.011397423,,,,
SL,3,71,42.99666667,0.342393536,42.95,42.68,43.36,0.001085355,0.007364912,0.008450267,0.005633512,,,,
SL,4,53,43.27,0.276224546,43.58,43.18,43.05,0.007164317,0.002079963,0.005084354,0.004776211,,,,
SL,5,6,45.46666667,0.857574098,44.65,45.39,46.36,0.017961877,0.001686217,0.019648094,0.013098729,,,,
SL,6,19,45.15666667,0.587310253,44.63,45.05,45.79,0.011663099,0.002362147,0.014025245,0.009350164,,,,
SL,7,33,43.74666667,0.115902258,43.67,43.69,43.88,0.001752514,0.001295337,0.003047851,0.002031901,,,,
SL,8,45,47.46333333,0.951437509,46.78,48.55,47.06,0.014397078,0.022894866,0.008497788,0.015263244,,,,
SL,9,78,43.99,0.493659802,43.7,44.56,43.71,0.006592407,0.01295749,0.006365083,0.008638327,,,,
SL,10,86,44.43666667,0.229419557,44.7,44.28,44.33,0.005926037,0.003525617,0.00240042,0.003950691,,,,
SL,11,38,43.82,0.512640225,43.34,44.36,43.76,0.010953902,0.01232314,0.001369238,0.008215427,,,,
SL,12,27,44.83,1.375027272,44.25,46.4,43.84,0.012937765,0.035021191,0.022083426,0.023347461,,,,
SL,13,95,45.18666667,1.153140639,44.34,44.72,46.5,0.018737091,0.01032753,0.029064621,0.019376414,,,,
SL,14,34,47.94333333,0.290057466,47.65,48.23,47.95,0.006118334,0.005979281,0.000139053,0.004078889,,,,
SL,15,14,45.01666667,1.172191679,44.36,46.37,44.32,0.01458719,0.03006294,0.01547575,0.02004196,,,,
SL,16,81,45.57,0.954096431,44.51,45.84,46.36,0.023260917,0.005924951,0.017335967,0.015507278,,,,
SL,17,3,46.67,1.610341579,46.09,48.49,45.43,0.012427684,0.038997214,0.026569531,0.025998143,,,,
SL,18,92,46.06666667,0.616954888,45.96,45.51,46.73,0.002315485,0.012083936,0.014399421,0.009599614,,,,
SL,19,84,44.65,0.823953882,45.08,43.7,45.17,0.009630459,0.021276596,0.011646137,0.014184397,,,,
SL,20,73,44.78666667,1.044094504,44.68,43.8,45.88,0.002381661,0.022030366,0.024412027,0.016274685,,,,
SL,21,97,47.92666667,0.251661148,47.66,48.16,47.96,0.005564056,0.004868549,0.000695507,0.003709371,,,,
SL,22,82,47.61666667,0.76794097,46.73,48.07,48.05,0.018620931,0.009520476,0.009100455,0.012413954,,,,
SL,23,25,46.86,0.250599282,46.84,47.12,46.62,0.000426803,0.005548442,0.005121639,0.003698961,,,,
