Sample Date,White bag label,White Bag,Sex ,Sampler1,InterOrbital DistanceA,Snout lengthA,Upper jaw lengthA,Post orbital to PreoperculumA,Sampler2,InterOrbital DistanceB,Snout lengthB,Upper jaw lengthB,Post orbital to PreoperculumB,Sampler3,InterOrbital DistanceC,Snout lengthC,Upper jaw lengthC,Post orbital to PreoperculumC,DNA VIAL BARCODE,Otolith Cell,Otoliths Collected (Y/N),Otolith Tray,Oto Check
26/09/2017,COBB,1,M,Kathryn,43.52,48.77,65.69,35.72,Schon,45.55,51.34,69.64,39.91,Kris,43.94,50.36,68.25,36.77,455_20170201_V,A01,Y,455-01,Y
26/09/2017,COBB,1,M,Kathryn,44.34,45.09,59.07,35.66,Schon,45.75,48.57,60.86,39.32,Kris,43.78,47.26,61.13,37.14,455_20170202_V,A02,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,40.84,46.09,58.86,32.35,Schon,42.03,48.49,59.03,32.71,Kris,39.47,45.43,59.33,32.32,455_20170203_V,A03,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,46.73,53.71,72.65,38.07,Schon,48.37,54.62,74.39,41.47,Kris,46.09,54.82,74.59,37.74,455_20170204_V,A04,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,48.37,51.85,70.18,38.01,Schon,50.62,53.94,70.89,40.58,Kris,47.9,53.65,72.09,37.77,455_20170205_V,A05,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,38.05,44.65,60.14,32.46,Schon,38.61,45.39,61.02,33.75,Kris,37.41,46.36,59.94,31.89,455_20170206_V,A06,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,42.72,48.26,63.32,32.54,Schon,43.18,49.91,63.52,33.27,Kris,42.67,50.11,63.8,33.19,455_20170207_V,A07,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,42.31,46.95,63.17,33.91,Schon,42.39,47.96,65.36,34.31,Kris,42.15,48.41,64.11,32.44,455_20170208_V,A08,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,43.03,46.38,61.52,33.71,Schon,43.71,47.51,61.84,36.29,Kris,43.24,47.87,61.66,34.52,455_20170209_V,A09,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,44.46,49.5,64.73,37.99,Schon,44.15,51.3,67.01,36.55,Kris,43.27,50.98,65.16,36.11,455_20170210_V,A10,Y,455-01,
26/09/2017,COBB,1,F,Kathryn,46.11,51.39,66.08,36.69,Schon,47.14,53.36,68.03,37.39,Kris,45.14,53.39,65.97,36.53,455_20170211_V,A11,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,43.71,47.18,63.69,34.34,Schon,45.09,48.53,65.9,34.72,Kris,43.24,48.76,64.99,33.78,455_20170212_V,A12,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,41.31,45.4,57.7,32.86,Schon,41.27,48.04,58.07,36.66,Kris,41.27,46.31,58.81,33.43,455_20170213_V,A13,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,39.9,44.36,57.46,32.53,Schon,41.64,46.37,58.53,33.09,Kris,39.97,44.32,58.87,31.55,455_20170214_V,A14,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,43.06,50.86,64.8,36.64,Schon,43.93,52.25,66.57,37.72,Kris,44.01,49.85,65.07,36.73,455_20170215_V,A15,Y,455-01,
26/09/2017,COBB,1,M,Kathryn,42.71,44.73,58.55,34.28,Schon,43.8,46.71,60.98,35.28,Kris,42.43,46.13,58.77,34.61,455_20170216_V,A16,Y,455-01,
