"type","obs","id","SMean","Sstdev","A","B","C"
"ID",1,23,35.4266666666667,0.485008590989204,35.43,35.91,34.94
"ID",2,83,37.25,0.867467578644876,36.5,38.2,37.05
"ID",3,71,37.3733333333333,0.96261795813985,38.48,36.91,36.73
"ID",4,53,37.4266666666667,0.544456915956932,37.31,38.02,36.95
"ID",5,6,38.0233333333333,0.600444279957212,38.05,38.61,37.41
"ID",6,19,38.4166666666667,1.14849176459099,37.68,39.74,37.83
"ID",7,33,38.88,0.910604195026579,39.04,39.7,37.9
"ID",8,45,39.5833333333333,0.760350796233771,39.61,40.33,38.81
"ID",9,78,39.67,2.48429064322192,42.51,37.9,38.6
"ID",10,86,39.7333333333333,0.188237438713275,39.61,39.64,39.95
"ID",11,38,40.0066666666667,0.493288286231628,40.34,40.24,39.44
"ID",12,27,40.2333333333333,1.03852459447686,40.08,41.34,39.28
"ID",13,95,40.41,0.845044377532921,40.26,41.32,39.65
"ID",14,34,40.4533333333333,0.590028247911347,40.88,40.7,39.78
"ID",15,14,40.5033333333333,0.985004230109361,39.9,41.64,39.97
"ID",16,81,40.62,0.635531273817427,41.35,40.19,40.32
"ID",17,3,40.78,1.2810542533398,40.84,42.03,39.47
"ID",18,92,40.78,1.17885537705013,42.01,40.67,39.66
"ID",19,84,40.9066666666667,0.140118997046555,40.9,40.77,41.05
"ID",20,73,40.95,0.5141984052873,41.13,41.35,40.37
"ID",21,97,41.1,0.105830052442585,41.14,41.18,40.98
"ID",22,82,41.1166666666667,0.79475363058833,41.79,41.32,40.24
"ID",23,25,41.1533333333333,0.802267619521899,41.55,41.68,40.23
"ID",24,93,41.1533333333333,0.833386664960108,41.24,41.94,40.28
"ID",25,13,41.2833333333333,0.0230940107675845,41.31,41.27,41.27
"ID",26,44,41.3133333333333,0.935111401563113,41.12,42.33,40.49
"ID",27,29,41.4866666666667,1.32046708907619,42.96,41.09,40.41
"ID",28,94,41.8333333333333,0.82203000756258,42.78,41.42,41.3
"ID",29,90,41.96,0.391535439009038,42.4,41.83,41.65
"ID",30,28,42.02,0.581033561853356,41.42,42.58,42.06
"ID",31,35,42.1333333333333,0.361432335760559,42.39,42.29,41.72
"ID",32,8,42.2833333333333,0.122202018532157,42.31,42.39,42.15
"ID",33,40,42.3133333333333,0.498029450267084,42.87,41.91,42.16
"ID",34,51,42.36,0.624259561400544,43.08,41.97,42.03
"ID",35,87,42.3766666666667,0.195021366350801,42.24,42.6,42.29
"ID",36,42,42.3833333333333,0.547205019470154,42.14,43.01,42
"ID",37,18,42.7866666666667,0.503421625810151,42.92,43.21,42.23
"ID",38,75,42.8333333333333,0.45654499595695,43.04,43.15,42.31
"ID",39,7,42.8566666666667,0.281128677536343,42.72,43.18,42.67
"ID",40,69,42.9166666666667,0.205507501890647,43.13,42.9,42.72
"ID",41,16,42.98,0.723809367167901,42.71,43.8,42.43
"ID",42,22,43.0433333333333,0.61043700193659,42.35,43.28,43.5
"ID",43,77,43.1533333333333,0.1955334583475,43.34,43.17,42.95
"ID",44,9,43.3266666666667,0.348185774168522,43.03,43.71,43.24
"ID",45,46,43.41,0.746659226153403,43.11,44.26,42.86
"ID",46,32,43.51,0.922388204608016,43.07,44.57,42.89
"ID",47,57,43.5533333333333,0.366924152016915,43.78,43.75,43.13
"ID",48,15,43.6666666666667,0.52690922684399,43.06,43.93,44.01
"ID",49,91,43.7166666666667,0.240069434400413,43.71,43.96,43.48
"ID",50,60,43.7633333333333,0.446131520219468,43.3,43.8,44.19
"ID",51,55,43.9266666666667,0.904009586969815,44.64,44.23,42.91
"ID",52,10,43.96,0.617332973362024,44.46,44.15,43.27
"ID",53,12,44.0133333333333,0.961578563266328,43.71,45.09,43.24
"ID",54,85,44.22,0.327871926215099,43.92,44.17,44.57
"ID",55,1,44.3366666666667,1.07155650029913,43.52,45.55,43.94
"ID",56,50,44.4233333333333,0.670099495100041,45.16,43.85,44.26
"ID",57,89,44.4333333333333,0.665607491945016,45.02,44.57,43.71
"ID",58,96,44.55,0.536935750346351,44.42,45.14,44.09
"ID",59,2,44.6233333333333,1.01510262206997,44.34,45.75,43.78
"ID",60,64,44.81,0.667757440991861,45.44,44.11,44.88
"ID",61,36,44.9033333333333,0.457638867813183,44.96,45.33,44.42
"ID",62,56,44.9266666666667,0.401040313850534,44.96,45.31,44.51
"ID",63,88,45.1833333333333,1.63114479226503,43.64,46.89,45.02
"ID",64,76,45.2,0.381575680566778,45.6,45.16,44.84
"ID",65,80,45.3366666666667,0.972231111070476,46.37,45.2,44.44
"ID",66,63,45.3833333333333,0.128582010146574,45.33,45.53,45.29
"ID",67,24,45.4033333333333,0.159478316185408,45.22,45.48,45.51
"ID",68,17,45.4333333333333,1.29939729618517,45.8,46.51,43.99
"ID",69,79,45.5633333333333,0.809279514959653,45.99,46.07,44.63
"ID",70,58,45.5733333333333,0.436157463920239,45.81,45.84,45.07
"ID",71,21,45.6233333333333,0.48335632129241,45.31,46.18,45.38
"ID",72,11,46.13,1.00014998875169,46.11,47.14,45.14
"ID",73,20,46.3133333333333,0.426653645634646,46.27,46.76,45.91
"ID",74,59,46.5466666666667,0.506589906466103,46.75,46.92,45.97
"ID",75,99,46.7733333333333,0.461988455844227,46.63,47.29,46.4
"ID",76,4,47.0633333333333,1.17598185927051,46.73,48.37,46.09
"ID",77,48,47.2166666666667,0.567479808745066,46.73,47.08,47.84
"ID",78,49,47.2866666666667,0.559672523296734,47.8,46.69,47.37
"ID",79,98,47.54,0.544426303552647,47.46,48.12,47.04
"ID",80,52,47.7266666666667,0.85231058501777,48.65,47.56,46.97
"ID",81,30,48.4033333333333,0.14011899704656,48.29,48.56,48.36
"ID",82,41,48.7133333333333,0.325166623953526,48.36,49,48.78
"ID",83,37,48.7933333333333,0.479826357480843,49.19,48.93,48.26
"ID",84,5,48.9633333333333,1.45383401161664,48.37,50.62,47.9
"ID",85,39,50.01,1.06719257868484,49.76,51.18,49.09
"ID",86,26,51.49,1.02327904307672,51.64,52.43,50.4
"ID",87,74,51.6033333333333,0.419324854180305,51.87,51.82,51.12
"ID",88,70,52.9133333333333,0.819288309042266,52.56,53.85,52.33
"ID",89,67,53.1133333333333,0.587735768295016,53.78,52.67,52.89
"ID",90,54,54.0333333333333,0.890748748712751,55.05,53.66,53.39
"ID",91,68,54.3933333333333,0.85885582802548,54.6,53.45,55.13
"ID",92,47,55.2166666666667,0.395263625107766,55.62,55.2,54.83
"ID",93,62,55.4866666666667,0.619058424814115,56.2,55.17,55.09
"ID",94,66,55.51,0.401497197997693,55.89,55.09,55.55
"ID",95,31,56.7,0.439203825119957,56.63,57.17,56.3
"ID",96,43,57.51,0.291032644217103,57.62,57.18,57.73
"ID",97,65,57.57,0.672681202353685,58.32,57.37,57.02
"ID",98,61,57.6766666666667,0.638853139096405,58.15,57.93,56.95
"ID",99,72,60.9033333333333,0.243789526709687,61.18,60.81,60.72
"SL",1,23,42.5666666666667,0.428291178210962,42.29,42.35,43.06
"SL",2,83,40.36,0.680220552468094,39.67,40.38,41.03
"SL",3,71,42.9966666666667,0.342393535764525,42.95,42.68,43.36
"SL",4,53,43.27,0.276224546338663,43.58,43.18,43.05
"SL",5,6,45.4666666666667,0.857574097867545,44.65,45.39,46.36
"SL",6,19,45.1566666666667,0.587310253046319,44.63,45.05,45.79
"SL",7,33,43.7466666666667,0.115902257671426,43.67,43.69,43.88
"SL",8,45,47.4633333333333,0.951437508895528,46.78,48.55,47.06
"SL",9,78,43.99,0.4936598018879,43.7,44.56,43.71
"SL",10,86,44.4366666666667,0.229419557434265,44.7,44.28,44.33
"SL",11,38,43.82,0.51264022471905,43.34,44.36,43.76
"SL",12,27,44.83,1.3750272724568,44.25,46.4,43.84
"SL",13,95,45.1866666666667,1.15314063900867,44.34,44.72,46.5
"SL",14,34,47.9433333333333,0.29005746557076,47.65,48.23,47.95
"SL",15,14,45.0166666666667,1.17219167943359,44.36,46.37,44.32
"SL",16,81,45.57,0.954096431185026,44.51,45.84,46.36
"SL",17,3,46.67,1.61034157867205,46.09,48.49,45.43
"SL",18,92,46.0666666666667,0.616954887599841,45.96,45.51,46.73
"SL",19,84,44.65,0.823953882204579,45.08,43.7,45.17
"SL",20,73,44.7866666666667,1.0440945040241,44.68,43.8,45.88
"SL",21,97,47.9266666666667,0.251661147842359,47.66,48.16,47.96
"SL",22,82,47.6166666666667,0.767940969953638,46.73,48.07,48.05
"SL",23,25,46.86,0.250599281722833,46.84,47.12,46.62
"SL",24,93,47.0333333333333,0.784495591659592,47.35,46.14,47.61
"SL",25,13,46.5833333333333,1.34105679720634,45.4,48.04,46.31
"SL",26,44,45.9666666666667,0.877572409168231,44.98,46.66,46.26
"SL",27,29,45.0233333333333,0.134288247189891,44.87,45.12,45.08
"SL",28,94,47.4433333333333,0.890748748712753,46.8,47.07,48.46
"SL",29,90,47.3833333333333,0.202072594216368,47.35,47.2,47.6
"SL",30,28,49.0866666666667,0.747819051197103,48.64,48.67,49.95
"SL",31,35,49.57,0.870689382041611,49.53,50.46,48.72
"SL",32,8,47.7733333333333,0.747685317050782,46.95,47.96,48.41
"SL",33,40,49.75,0.720208303201234,48.93,50.28,50.04
"SL",34,51,46.4433333333333,0.366651514838454,46.3,46.17,46.86
"SL",35,87,47.5833333333333,0.664028111854713,47.21,47.19,48.35
"SL",36,42,47.8966666666667,0.557882902886738,47.26,48.3,48.13
"SL",37,18,44.8466666666667,0.874604672599759,43.84,45.28,45.42
"SL",38,75,48.9066666666667,1.24708994596755,48.07,48.31,50.34
"SL",39,7,49.4266666666667,1.01529962736787,48.26,49.91,50.11
"SL",40,69,49.93,0.8461087400565,49.88,49.11,50.8
"SL",41,16,45.8566666666667,1.01790634801702,44.73,46.71,46.13
"SL",42,22,45.7666666666667,1.12518146684583,44.53,46.73,46.04
"SL",43,77,52.3366666666667,1.42955704095126,51.65,51.38,53.98
"SL",44,9,47.2533333333333,0.777453106838817,46.38,47.51,47.87
"SL",45,46,51.82,1.0829127388668,51.4,53.05,51.01
"SL",46,32,47.3633333333333,0.757253810378882,46.54,47.52,48.03
"SL",47,57,48.8666666666667,0.205507501890643,48.63,49,48.97
"SL",48,15,50.9866666666667,1.2050034578097,50.86,52.25,49.85
"SL",49,91,49,0.34510867853475,48.99,48.66,49.35
"SL",50,60,48.4966666666667,0.830501856309386,48.11,47.93,49.45
"SL",51,55,49.95,0.750199973340442,49.19,50.69,49.97
"SL",52,10,50.5933333333333,0.960277737601643,49.5,51.3,50.98
"SL",53,12,48.1566666666667,0.853600218681634,47.18,48.53,48.76
"SL",54,85,48.5066666666667,0.418608807042246,48.57,48.06,48.89
"SL",55,1,50.1566666666667,1.29700938058803,48.77,51.34,50.36
"SL",56,50,47.56,1.11727346697217,46.3,48.43,47.95
"SL",57,89,49.3933333333333,0.785005307837682,48.61,49.39,50.18
"SL",58,96,49.55,0.419999999999998,49.55,49.13,49.97
"SL",59,2,46.9733333333333,1.75762149888232,45.09,48.57,47.26
"SL",60,64,48.7366666666667,0.397156560229505,48.29,48.87,49.05
"SL",61,36,48.4933333333333,0.176162803489653,48.59,48.29,48.6
"SL",62,56,51.16,0.141067359796659,51.01,51.18,51.29
"SL",63,88,49.2433333333333,0.552479260545891,48.89,49.88,48.96
"SL",64,76,48.31,1.00955435712992,47.19,49.15,48.59
"SL",65,80,49.53,0.634113554499508,50.24,49.02,49.33
"SL",66,63,48.93,0.849646985518103,48.4,48.48,49.91
"SL",67,24,53.9366666666667,0.361155552820849,53.53,54.22,54.06
"SL",68,17,48.7266666666667,0.418608807042246,48.28,49.11,48.79
"SL",69,79,49.6566666666667,1.01001650151537,48.93,49.23,50.81
"SL",70,58,50.98,1.17477657450257,50.42,50.19,52.33
"SL",71,21,52.5766666666667,0.850019607616987,51.73,53.43,52.57
