"yr","DNA_VIAL_BARCODE","SPECIMEN_SEX_DESC","Genetic_Sex_New_DFO_X_Insert_and_2_second_injection_2018","Concordance_confirmed_and_genetic_sex_ID_2018","Fork_Length"
2018,"455_20150101_V","MALE","MALE",1,685
2018,"455_20150102_V","FEMALE","FEMALE",1,820
2018,"455_20150103_V","FEMALE","FEMALE",1,850
2018,"455_20150104_V","MALE","MALE",1,515
2018,"455_20150105_V","FEMALE","FEMALE",1,745
2018,"455_20150106_V","MALE","MALE",1,700
2018,"455_20150107_V","MALE","MALE",1,460
2018,"455_20150108_V","MALE","MALE",1,485
2018,"455_20150109_V","MALE","MALE",1,500
2018,"455_20150110_V","FEMALE","FEMALE",1,595
2018,"455_20150111_V","FEMALE","FEMALE",1,705
2018,"455_20150112_V","MALE","MALE",1,655
2018,"455_20150113_V","FEMALE","FEMALE",1,695
2018,"455_20150114_V","FEMALE","FEMALE",1,770
2018,"455_20150115_V","FEMALE","FEMALE",1,685
2018,"455_20150116_V","FEMALE","FEMALE",1,705
2018,"455_20150117_V","FEMALE","FEMALE",1,715
2018,"455_20150118_V","FEMALE","FEMALE",1,815
2018,"455_20150119_V","FEMALE","FEMALE",1,865
2018,"455_20150120_V","FEMALE","FEMALE",1,850
2018,"455_20150121_v","FEMALE","FEMALE",1,545
2018,"455_20150122_V","FEMALE","FEMALE",1,350
2018,"455_20150123_V","FEMALE","FEMALE",1,530
2018,"455_20150124_V","FEMALE","FEMALE",1,530
2018,"455_20150125_V","FEMALE","FEMALE",1,355
2018,"455_20150126_V","FEMALE","FEMALE",1,405
2018,"455_20150127_V","FEMALE","FEMALE",1,380
2018,"455_20150129_V","FEMALE","FEMALE",1,585
2018,"455_20150130_V","MALE","FEMALE",0,535
2018,"455_20150131_V","MALE","MALE",1,495
2018,"455_20150132_V","FEMALE","FEMALE",1,510
2018,"455_20150133_V","MALE","MALE",1,515
2018,"455_20150134_V","MALE","MALE",1,445
2018,"455_20150135_V","FEMALE","MALE",0,580
2018,"455_20150136_V","FEMALE","MALE",0,535
2018,"455_20150137_V","MALE","MALE",1,580
2018,"455_20150138_V","FEMALE","FEMALE",1,460
2018,"455_20150139_V","FEMALE","FEMALE",1,720
2018,"455_20150140_V","FEMALE","FEMALE",1,545
2018,"455_20150141_V","FEMALE","FEMALE",1,565
2018,"455_20150142_V","MALE","MALE",1,530
2018,"455_20150143_V","MALE","MALE",1,420
2018,"455_20150144_V","FEMALE","FEMALE",1,510
2018,"455_20150145_V","FEMALE","FEMALE",1,565
2018,"455_20150146_V","FEMALE","FEMALE",1,555
2018,"455_20150147_V","MALE","FEMALE",0,475
2018,"455_20150149_V","FEMALE","FEMALE",1,605
2018,"455_20150150_V","MALE","MALE",1,610
2018,"455_20150151_V","FEMALE","FEMALE",1,555
2018,"455_20150152_V","FEMALE","FEMALE",1,410
2018,"455_20150153_V","MALE","MALE",1,490
2018,"455_20150154_V","FEMALE","FEMALE",1,630
2018,"455_20150155_V","MALE","FEMALE",0,470
2018,"455_20150156_V","MALE","FEMALE",0,485
2018,"455_20150157_V","FEMALE","FEMALE",1,605
2018,"455_20150158_V","MALE","MALE",1,480
2018,"455_20150159_V","FEMALE","FEMALE",1,530
2018,"455_20150160_V","FEMALE","FEMALE",1,580
2018,"455_20150161_V","FEMALE","FEMALE",1,545
2018,"455_20150162_V","FEMALE","FEMALE",1,510
2018,"455_20150163_V","MALE","MALE",1,650
2018,"455_20150164_V","FEMALE","FEMALE",1,475
2018,"455_20150165_V","FEMALE","FEMALE",1,375
2018,"455_20150166_V","MALE","FEMALE",0,590
2018,"455_20150167_V","FEMALE","FEMALE",1,525
2018,"455_20150168_V","FEMALE","FEMALE",1,690
2018,"455_20150169_V","MALE","MALE",1,655
2018,"455_20150170_V","FEMALE","FEMALE",1,685
