Sample Date,White bag label,White Bag,Sex (M/F) (1 cut= malel; 2 cuts= female),Sampler #1,"InterOrbital Distance (narrowest distance between bony eye sockets, measured on dorsal surface)",Snout length (distance from tip of snout to anterior edge of bony eye socket),Upper jaw length (Distance from tip of snout to the posterior edge of the maxilla),Post orbital to Preoperculum (Posterior orbit to visual insertion point of preopercle),Sampler #2,"InterOrbital Distance (narrowest distance between bony eye sockets, measured on dorsal surface)",Snout length (distance from tip of snout to anterior edge of bony eye socket),Upper jaw length (Distance from tip of snout to the posterior edge of the maxilla),Post orbital to Preoperculum (Posterior orbit to visual insertion point of preopercle),Sampler #3,"InterOrbital Distance (narrowest distance between bony eye sockets, measured on dorsal surface)",Snout length (distance from tip of snout to anterior edge of bony eye socket),Upper jaw length (Distance from tip of snout to the posterior edge of the maxilla),Post orbital to Preoperculum (Posterior orbit to visual insertion point of preopercle),DNA VIAL BARCODE,Otolith Cell,Otoliths Collected (Y/N),Otolith Tray,Oto Check
7/2/2020,Eikelberg,,1,KT,47.2,49.85,66.9,39.21,,,,,,,,,,,455_20170001_V,E20,Y,455-01,y
7/2/2020,Eikelberg,,1,,45.61,51.66,63.62,36.82,,,,,,,,,,,455_20170002_V,A01,Y,455-02,y
7/2/2020,Eikelberg,,1,,49.82,52.29,69.2,36.21,,,,,,,,,,,455_20170003_V,A02,Y,455-02,y
7/2/2020,Eikelberg,,1,,48.13,51.04,72.79,39.75,,,,,,,,,,,455_20170004_V,A03,Y,455-02,
7/2/2020,Eikelberg,,1,,42.38,46.56,56.23,35.03,,,,,,,,,,,455_20170005_V,A04,Y,455-02,
7/2/2020,Eikelberg,,1,,46.67,50.22,68.42,37.23,,,,,,,,,,,455_20170006_V,A05,Y,455-02,
7/2/2020,Eikelberg,,1,,44.54,51.51,63.82,35.06,,,,,,,,,,,455_20170007_V,A06,Y,455-02,
7/2/2020,Eikelberg,,1,,39.18,42.42,56.27,34.6,,,,,,,,,,,455_20170008_V,A07,Y,455-02,y
7/2/2020,Eikelberg,,1,,41.65,46.08,62.41,34.19,,,,,,,,,,,455_20170009_V,A08,Y,455-02,
7/2/2020,Eikelberg,,1,,44.08,49.11,65.73,35.19,,,,,,,,,,,455_20170010_V,A09,Y,455-02,
